neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Noe Valley,2011-09-01,4,1,Entire home,Entire home/apt,5,3,170.0,5.14166355650266,1
Castro/Upper Market,2013-07-07,5,1,Entire rental unit,Entire home/apt,2,2,140.0,4.948759890378168,1
Western Addition,2012-12-01,3,1,Entire rental unit,Entire home/apt,5,2,310.0,5.739792912179234,1
Russian Hill,2014-12-09,1,1,Entire condo,Entire home/apt,2,1,300.0,5.707110264748875,0
Noe Valley,2019-08-22,1,1,Entire guest suite,Entire home/apt,2,1,257.0,5.552959584921617,1
Ocean View,2011-11-03,5,1,Private room in home,Private room,2,1,74.0,4.31748811353631,4
Pacific Heights,2016-03-03,1,1,Entire condo,Entire home/apt,2,1,345.0,5.846438775057725,0
Bayview,2012-06-08,1,1,Entire home,Entire home/apt,7,3,180.0,5.198497031265826,3
Downtown/Civic Center,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,335.0,5.817111159963204,0
Mission,2019-06-04,3,1,Entire rental unit,Entire home/apt,3,2,125.0,4.836281906951478,3
Outer Mission,2012-05-02,3,1,Private room in guest suite,Private room,4,3,325.0,5.786897381366708,4
Haight Ashbury,2011-02-08,1,1,Entire cottage,Entire home/apt,2,1,295.0,5.69035945432406,1
Bayview,2014-10-20,3,0,Private room in home,Private room,1,1,90.0,4.51085950651685,3
North Beach,2019-09-03,2,1,Entire rental unit,Entire home/apt,6,3,400.0,5.993961427306569,0
Downtown/Civic Center,2016-11-04,12,1,Shared room in hostel,Shared room,1,1,48.0,3.8918202981106265,0
Ocean View,2013-09-12,2,1,Entire home,Entire home/apt,8,4,625.0,6.439350371100098,4
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076,0
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,174.0,5.1647859739235145,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,279.0,5.634789603169249,0
Potrero Hill,2016-05-26,2,1,Entire rental unit,Entire home/apt,2,2,110.0,4.709530201312334,3
