neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
Castro/Upper Market,37.75914,-122.43156,2012-08-10,2,1,Entire home,Entire home/apt,7,3,1240.0,7.123672785204607
Mission,37.76201,-122.42532,2016-01-18,1,0,Entire rental unit,Entire home/apt,4,1,300.0,5.707110264748875
South of Market,37.77406,-122.391,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,219.0,5.393627546352362
Russian Hill,37.8013,-122.41325,2017-07-12,1,1,Entire vacation home,Entire home/apt,2,1,110.0,4.709530201312334
Parkside,37.74155,-122.47639,2015-11-08,4,1,Private room in home,Private room,2,1,99.0,4.605170185988092
Visitacion Valley,37.72286,-122.40306,2021-12-30,1,0,Entire home,Entire home/apt,4,2,142.0,4.962844630259907
Outer Richmond,37.77799,-122.48944,2017-09-15,7,0,Entire townhouse,Entire home/apt,4,2,100.0,4.61512051684126
Parkside,37.73887,-122.50299,2015-05-06,1,1,Entire rental unit,Entire home/apt,2,1,110.0,4.709530201312334
Castro/Upper Market,37.7570554,-122.4376224,2022-12-19,2,1,Entire rental unit,Entire home/apt,4,2,80.0,4.394449154672439
Bayview,37.73417,-122.40309,2017-02-13,3,1,Entire home,Entire home/apt,7,6,150.0,5.017279836814924
Inner Sunset,37.76434,-122.46266,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,105.0,4.663439094112067
Castro/Upper Market,37.75982,-122.43089,2021-08-26,1,1,Entire rental unit,Entire home/apt,3,2,211.0,5.356586274672012
Marina,37.80541,-122.44262,2012-10-01,1,1,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151
Castro/Upper Market,37.76189,-122.43621,2016-08-07,17,1,Private room in rental unit,Private room,2,0,279.0,5.634789603169249
Castro/Upper Market,37.76,-122.4374,2016-08-07,17,1,Room in hotel,Private room,2,1,246.0,5.5093883366279774
Castro/Upper Market,37.76195,-122.43749,2016-08-07,17,1,Room in hotel,Private room,4,0,306.0,5.726847747587197
Castro/Upper Market,37.76051,-122.43604,2016-08-07,17,1,Room in hotel,Private room,3,0,289.0,5.66988092298052
South of Market,37.782,-122.39533,2016-10-13,5,1,Private room in home,Private room,2,1,150.0,5.017279836814924
Mission,37.7502,-122.42299,2011-09-06,1,1,Entire rental unit,Entire home/apt,2,1,202.0,5.313205979041787
South of Market,37.78425,-122.3939,2016-10-13,5,1,Entire townhouse,Entire home/apt,6,3,569.0,6.345636360828596
South of Market,37.78394,-122.39467,2016-10-13,5,1,Private room in townhouse,Private room,2,1,128.0,4.859812404361672
Western Addition,37.78257,-122.43151,2014-04-16,1,0,Private room in rental unit,Private room,2,1,275.0,5.62040086571715
Inner Richmond,37.78726,-122.46516,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Western Addition,37.77818,-122.42334,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,58.0,4.07753744390572
Inner Richmond,37.78225,-122.47431,2014-11-13,28,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836
Lakeshore,37.73195,-122.47497,2016-07-04,3,1,Entire rental unit,Entire home/apt,4,4,99.0,4.605170185988092
Financial District,37.79753,-122.40483,2021-10-29,3,1,Private room in serviced apartment,Private room,2,1,70.0,4.2626798770413155
Parkside,37.7419,-122.47562,2013-10-04,6,1,Private room in home,Private room,2,1,55.0,4.02535169073515
Marina,37.80172,-122.44381,2015-11-12,1,1,Entire condo,Entire home/apt,2,2,150.0,5.017279836814924
Outer Sunset,37.76054,-122.48372,2013-10-04,6,1,Private room in home,Private room,2,1,55.0,4.02535169073515
South of Market,37.78770300000001,-122.391971,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,241.0,5.488937726156687
Inner Richmond,37.7776,-122.45623,2012-12-04,2,1,Entire rental unit,Entire home/apt,5,4,361.0,5.8916442118257715
Bayview,37.73779,-122.38779,2011-07-31,1,1,Entire condo,Entire home/apt,4,2,211.0,5.356586274672012
Pacific Heights,37.79018,-122.43591,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,111.0,4.718498871295094
Excelsior,37.7266,-122.40328,2018-11-19,14,1,Private room in home,Private room,1,2,65.0,4.189654742026425
Bayview,37.73782,-122.38747,2021-10-25,4,1,Entire guest suite,Entire home/apt,5,4,132.0,4.890349128221754
Haight Ashbury,37.7696,-122.44924,2022-01-11,1,1,Entire condo,Entire home/apt,4,2,229.0,5.438079308923196
Excelsior,37.71805,-122.43738,2014-05-23,1,1,Entire guest suite,Entire home/apt,4,2,295.0,5.69035945432406
Outer Sunset,37.75599,-122.47685,2022-01-12,1,1,Private room in home,Private room,2,1,150.0,5.017279836814924
Castro/Upper Market,37.76224,-122.44142,2012-07-19,1,1,Entire home,Entire home/apt,4,2,252.0,5.53338948872752
Bayview,37.73108,-122.38854,2011-12-16,1,1,Entire condo,Entire home/apt,4,1,141.0,4.955827057601261
Mission,37.75231,-122.424,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,109.0,4.700480365792417
North Beach,37.8036,-122.40483,2017-05-10,1,1,Entire condo,Entire home/apt,2,1,300.0,5.707110264748875
Excelsior,37.72317,-122.43415,2015-08-03,1,1,Entire guest suite,Entire home/apt,2,1,82.0,4.418840607796598
Noe Valley,37.75334,-122.4311,2014-10-18,1,1,Entire condo,Entire home/apt,4,2,375.0,5.929589143389895
South of Market,37.78238,-122.39818,2019-06-02,1,1,Entire condo,Entire home/apt,2,1,122.0,4.812184355372417
Marina,37.79923,-122.43228,2017-11-09,25,0,Private room in rental unit,Private room,1,1,68.0,4.23410650459726
Nob Hill,37.79342,-122.40987,2022-01-17,1,0,Entire rental unit,Entire home/apt,4,2,210.0,5.351858133476067
Potrero Hill,37.76314,-122.38728,2012-05-02,1,0,Entire condo,Entire home/apt,4,2,249.0,5.521460917862246
Downtown/Civic Center,37.78333,-122.4171,2021-08-05,3,1,Room in boutique hotel,Private room,2,1,174.0,5.1647859739235145
Downtown/Civic Center,37.7841,-122.41772,2021-08-05,3,1,Room in boutique hotel,Private room,2,1,213.0,5.365976015021851
Pacific Heights,37.79548,-122.432,2015-10-12,1,1,Entire rental unit,Entire home/apt,4,0,300.0,5.707110264748875
Inner Sunset,37.76508,-122.45356,2015-09-11,7,1,Private room in rental unit,Private room,1,1,70.0,4.2626798770413155
Marina,37.79651139793415,-122.43264955309732,2012-11-14,2,1,Entire condo,Entire home/apt,2,2,235.0,5.4638318050256105
Crocker Amazon,37.71016,-122.44262,2016-10-04,2,1,Entire rental unit,Entire home/apt,6,3,258.0,5.556828061699537
South of Market,37.78206,-122.39518,2019-09-08,5,1,Private room in townhouse,Private room,2,1,145.0,4.983606621708336
Lakeshore,37.73329,-122.47626,2016-07-04,3,1,Private room in home,Private room,1,1,50.0,3.9318256327243257
Ocean View,37.71452,-122.46469,2016-05-04,1,1,Entire home,Entire home/apt,6,3,140.0,4.948759890378168
South of Market,37.77406,-122.391,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,362.0,5.8944028342648505
Castro/Upper Market,37.75849,-122.42896,2017-06-19,1,1,Entire home,Entire home/apt,8,3,1750.0,7.467942332285852
Excelsior,37.72873,-122.40916,2015-01-20,1,1,Entire guest suite,Entire home/apt,4,2,164.0,5.10594547390058
North Beach,37.80468,-122.41108,2020-04-23,1,1,Entire rental unit,Entire home/apt,2,1,185.0,5.225746673713202
Chinatown,37.79148,-122.40808,2014-08-29,20,1,Entire serviced apartment,Entire home/apt,4,2,145.0,4.983606621708336
Downtown/Civic Center,37.78809035389626,-122.42039495049812,2022-11-07,29,1,Room in hotel,Private room,2,1,99.0,4.605170185988092
South of Market,37.77656,-122.40842,2012-09-24,1,1,Entire condo,Entire home/apt,4,2,153.0,5.0369526024136295
Financial District,37.79139,-122.39381,2020-06-24,1,1,Entire condo,Entire home/apt,3,2,650.0,6.478509642208569
Nob Hill,37.7892,-122.41835,2016-11-04,12,1,Room in boutique hotel,Private room,2,1,120.0,4.795790545596741
Western Addition,37.77145,-122.43303,2014-05-04,1,1,Entire condo,Entire home/apt,8,4,386.0,5.958424693029782
Bernal Heights,37.74483,-122.41636,2014-01-09,1,1,Entire home,Entire home/apt,5,3,200.0,5.303304908059076
Outer Richmond,37.7740322884284,-122.49316758275826,2018-03-06,1,1,Entire home,Entire home/apt,3,2,122.0,4.812184355372417
Excelsior,37.7223,-122.41609,2018-11-19,14,1,Private room in home,Private room,2,1,67.0,4.219507705176107
Bernal Heights,37.73975,-122.41631,2010-07-15,1,1,Entire condo,Entire home/apt,4,2,265.0,5.583496308781699
Outer Sunset,37.74853,-122.50151,2021-07-01,1,1,Entire condo,Entire home/apt,2,1,400.0,5.993961427306569
South of Market,37.78347721658236,-122.39557301969496,2019-12-22,4,1,Private room in rental unit,Private room,2,1,109.0,4.700480365792417
Mission,37.76113126592456,-122.41675976658266,2022-07-15,9,1,Private room in bed and breakfast,Private room,2,1,161.0,5.087596335232384
Castro/Upper Market,37.75611,-122.43554,2012-09-01,2,1,Entire home,Entire home/apt,6,3,625.0,6.439350371100098
Mission,37.74924,-122.42022,2011-06-28,1,0,Private room in condo,Private room,1,1,67.0,4.219507705176107
Castro/Upper Market,37.765087,-122.43576,2012-02-15,5,1,Entire condo,Entire home/apt,3,1,199.0,5.298317366548036
Presidio Heights,37.78865,-122.45117,2011-11-27,1,1,Entire condo,Entire home/apt,2,1,88.0,4.48863636973214
North Beach,37.80072,-122.40418,2018-11-30,3,0,Entire rental unit,Entire home/apt,2,1,75.0,4.330733340286331
Haight Ashbury,37.75939,-122.44963,2016-04-01,1,0,Entire guest suite,Entire home/apt,4,1,200.0,5.303304908059076
Diamond Heights,37.74316,-122.44388,2013-03-25,1,1,Entire home,Entire home/apt,6,4,1045.0,6.952728644624869
Pacific Heights,37.79482,-122.44075,2021-02-08,4,1,Entire serviced apartment,Entire home/apt,2,1,99.0,4.605170185988092
Mission,37.751979061421245,-122.40692779658347,2014-12-19,1,1,Private room in home,Private room,2,1,100.0,4.61512051684126
Castro/Upper Market,37.76392,-122.42662,2017-01-13,1,0,Entire rental unit,Entire home/apt,6,3,121.0,4.804021044733257
Mission,37.76811,-122.41955,2020-11-13,20,1,Private room in rental unit,Private room,1,1,70.0,4.2626798770413155
Mission,37.76639,-122.41958,2020-11-13,20,1,Private room in home,Private room,1,1,70.0,4.2626798770413155
Bayview,37.73673219126476,-122.40252783480123,2023-05-07,2,1,Entire home,Entire home/apt,4,2,107.0,4.68213122712422
Mission,37.76685,-122.41803,2020-11-13,20,1,Private room in home,Private room,1,1,49.0,3.912023005428146
South of Market,37.7873984,-122.3923904,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,244.0,5.501258210544727
Outer Richmond,37.780163810394825,-122.50258691894818,2023-03-11,6,1,Private room in rental unit,Private room,2,1,54.0,4.007333185232471
Outer Richmond,37.7790734,-122.5023249,2023-03-11,6,1,Private room in rental unit,Private room,2,1,55.0,4.02535169073515
Outer Richmond,37.7790734,-122.5023249,2023-03-11,6,1,Private room in rental unit,Private room,2,1,55.0,4.02535169073515
South of Market,37.773377,-122.396868,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,370.0,5.916202062607435
Inner Sunset,37.76262,-122.47297,2013-06-24,5,0,Entire rental unit,Entire home/apt,2,1,83.0,4.430816798843313
Mission,37.7545,-122.42019,2014-11-04,1,1,Entire condo,Entire home/apt,6,2,325.0,5.786897381366708
South of Market,37.78315,-122.39469,2013-12-24,3,0,Entire loft,Entire home/apt,3,1,139.0,4.941642422609304
Lakeshore,37.7313,-122.47612,2016-07-04,3,1,Private room in home,Private room,1,1,38.0,3.6635616461296463
Western Addition,37.7751,-122.42872,2022-02-08,1,0,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151
Outer Sunset,37.76306,-122.48215,2014-10-19,2,1,Entire condo,Entire home/apt,7,3,140.0,4.948759890378168
Mission,37.76615,-122.42009,2020-11-13,20,1,Private room in home,Private room,1,1,68.0,4.23410650459726
Downtown/Civic Center,37.779556463342175,-122.421528332831,2016-06-13,5,1,Room in hotel,Private room,2,1,103.0,4.6443908991413725
Bernal Heights,37.74742621561964,-122.41462311854072,2015-05-26,1,1,Entire home,Entire home/apt,6,3,290.0,5.673323267171493
Downtown/Civic Center,37.78706,-122.40925,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,2,118.0,4.77912349311153
Downtown/Civic Center,37.78929,-122.4118,2016-08-07,17,1,Room in boutique hotel,Private room,2,1,201.0,5.308267697401205
Chinatown,37.797432,-122.407883,2022-02-13,2,1,Room in hotel,Private room,2,1,128.0,4.859812404361672
South of Market,37.77515658828879,-122.41228374259424,2015-10-02,2,1,Entire home,Entire home/apt,9,4,853.0,6.74993119378857
Haight Ashbury,37.77015035175878,-122.44792907432188,2015-04-07,1,1,Entire rental unit,Entire home/apt,2,1,285.0,5.655991810819852
Western Addition,37.78697,-122.43396,2022-02-14,1,1,Private room in home,Private room,2,1,109.0,4.700480365792417
South of Market,37.7791,-122.39752,2021-01-23,1,1,Entire rental unit,Entire home/apt,8,4,443.0,6.095824562432225
Mission,37.76739,-122.41989,2020-11-13,20,1,Private room in home,Private room,1,1,65.0,4.189654742026425
Inner Sunset,37.7488,-122.47347,2016-07-07,1,1,Entire guest suite,Entire home/apt,6,2,120.0,4.795790545596741
South of Market,37.77406,-122.391,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,307.0,5.730099782973574
Ocean View,37.71472,-122.46901,2011-11-03,5,1,Private room in home,Private room,2,1,111.0,4.718498871295094
Bernal Heights,37.73835,-122.41889,2018-03-14,1,1,Entire home,Entire home/apt,6,4,375.0,5.929589143389895
Twin Peaks,37.74928,-122.44407,2010-10-15,3,1,Entire rental unit,Entire home/apt,4,1,120.0,4.795790545596741
Pacific Heights,37.79025,-122.42544,2009-09-15,22,1,Entire condo,Entire home/apt,2,1,118.0,4.77912349311153
Mission,37.76655,-122.42087,2011-10-06,28,1,Entire condo,Entire home/apt,2,2,198.0,5.293304824724492
Outer Sunset,37.755882,-122.506859,2012-03-28,1,1,Entire home,Entire home/apt,3,3,260.0,5.564520407322694
Crocker Amazon,37.7099,-122.44341,2021-12-01,2,1,Private room in home,Private room,2,1,64.0,4.174387269895637
Inner Richmond,37.78109073265357,-122.4723304014249,2016-08-22,26,1,Entire rental unit,Entire home/apt,4,2,25000.0,10.12667110305036
Mission,37.769574,-122.423358,2017-04-28,30,1,Entire rental unit,Entire home/apt,2,1,113.0,4.736198448394496
Inner Sunset,37.76305255765475,-122.46685919177084,2023-04-21,1,0,Private room in rental unit,Private room,1,1,60.0,4.110873864173311
North Beach,37.80055,-122.40537,2017-03-27,1,0,Entire condo,Entire home/apt,2,1,119.0,4.787491742782046
Financial District,37.78932,-122.4041,2019-11-19,7,1,Room in hotel,Private room,2,1,139.0,4.941642422609304
Financial District,37.78951,-122.40376,2019-11-19,7,1,Room in hotel,Private room,2,1,83.0,4.430816798843313
Noe Valley,37.742115965640096,-122.42743003409409,2022-12-19,1,1,Entire home,Entire home/apt,10,4,175.0,5.170483995038151
Mission,37.76882041648503,-122.42399806083466,2011-07-26,9,1,Private room in home,Private room,1,1,50.0,3.9318256327243257
North Beach,37.80094,-122.40807,2019-11-15,7,1,Room in hotel,Private room,2,1,289.0,5.66988092298052
North Beach,37.80009,-122.40966,2019-11-15,7,1,Room in hotel,Private room,2,1,246.0,5.5093883366279774
Haight Ashbury,37.7755,-122.44373,2018-03-29,7,1,Entire home,Entire home/apt,5,4,229.0,5.438079308923196
Nob Hill,37.7934,-122.41257,2019-10-26,13,1,Entire condo,Entire home/apt,2,1,175.0,5.170483995038151
Outer Mission,37.71364,-122.44494,2018-10-10,5,1,Entire rental unit,Entire home/apt,4,2,129.0,4.867534450455582
Mission,37.75736,-122.40663,2016-09-05,1,1,Entire condo,Entire home/apt,2,1,170.0,5.14166355650266
Downtown/Civic Center,37.78464,-122.41088,2016-06-09,8,0,Shared room in hostel,Shared room,4,4,39.0,3.6888794541139363
Bayview,37.72939,-122.36871,2013-03-12,1,1,Private room in condo,Private room,2,1,90.0,4.51085950651685
Russian Hill,37.80044,-122.42042,2023-05-11,1,1,Entire rental unit,Entire home/apt,4,2,232.0,5.4510384535657
Glen Park,37.73693,-122.43379,2022-02-22,1,1,Entire home,Entire home/apt,6,4,199.0,5.298317366548036
Mission,37.76779,-122.41845,2020-11-13,20,1,Private room in home,Private room,1,1,68.0,4.23410650459726
Outer Sunset,37.75617,-122.4786,2022-02-22,3,1,Entire guest suite,Entire home/apt,2,1,153.0,5.0369526024136295
Outer Sunset,37.75582,-122.47889,2022-02-22,3,1,Entire guest suite,Entire home/apt,4,2,257.0,5.552959584921617
Mission,37.7684,-122.42005,2011-10-06,28,1,Entire condo,Entire home/apt,2,1,151.0,5.0238805208462765
Financial District,37.7872571,-122.3963215,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,433.0,6.073044534100405
Potrero Hill,37.7584734204257,-122.39036253862308,2016-12-08,1,1,Entire rental unit,Entire home/apt,5,3,360.0,5.8888779583328805
Pacific Heights,37.7928478,-122.4245387,2023-04-22,6,0,Shared room,Shared room,2,1,64.0,4.174387269895637
Pacific Heights,37.7928478,-122.4245387,2023-04-22,6,0,Shared room,Shared room,1,1,59.0,4.0943445622221
Nob Hill,37.79518,-122.41055,2011-11-04,1,1,Private room in home,Private room,2,1,120.0,4.795790545596741
Financial District,37.7872571,-122.3963215,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,446.0,6.102558594613569
Mission,37.75453697695639,-122.41208363737884,2022-12-20,1,1,Entire rental unit,Entire home/apt,4,3,125.0,4.836281906951478
Chinatown,37.792660680259424,-122.40831388656326,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222
Outer Richmond,37.77684230668247,-122.50264002994786,2022-12-20,1,1,Entire home,Entire home/apt,6,4,220.0,5.3981627015177525
Potrero Hill,37.75748163105602,-122.38998113183985,2019-02-20,2,0,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Downtown/Civic Center,37.78755088196239,-122.42090571254026,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636
North Beach,37.8002289,-122.4076054,2020-09-27,2,1,Entire rental unit,Entire home/apt,4,2,157.0,5.062595033026967
North Beach,37.80043,-122.40873,2018-06-15,1,1,Entire rental unit,Entire home/apt,4,2,160.0,5.081404364984463
Chinatown,37.79061973817219,-122.40777801019158,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222
Chinatown,37.797432,-122.407883,2022-02-13,2,1,Room in hotel,Private room,4,2,153.0,5.0369526024136295
Bayview,37.72899128154172,-122.38935368017708,2012-08-20,1,1,Entire guest suite,Entire home/apt,3,1,75.0,4.330733340286331
Inner Sunset,37.75692,-122.47084,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,114.0,4.74493212836325
Bernal Heights,37.7469687,-122.413787,2022-12-20,8,1,Private room in rental unit,Private room,2,2,89.0,4.499809670330265
Castro/Upper Market,37.76157122434826,-122.44352472748776,2011-09-03,1,1,Entire rental unit,Entire home/apt,2,2,250.0,5.5254529391317835
Potrero Hill,37.758636,-122.396339,2015-01-18,2,1,Entire townhouse,Entire home/apt,4,3,434.0,6.075346031088684
Bayview,37.73474,-122.38763,2015-02-02,4,1,Private room in home,Private room,1,1,60.0,4.110873864173311
West of Twin Peaks,37.73794626157141,-122.45853283941788,2022-01-12,2,1,Entire home,Entire home/apt,10,5,3502.0,8.161375023197486
Bernal Heights,37.7469687,-122.413787,2022-12-20,8,1,Private room in rental unit,Private room,2,1,87.0,4.477336814478207
Mission,37.75198,-122.42352,2012-12-17,154,1,Entire rental unit,Entire home/apt,3,1,130.0,4.875197323201151
South of Market,37.7744,-122.40033,2012-10-02,2,1,Entire condo,Entire home/apt,4,2,299.0,5.703782474656201
Parkside,37.74536,-122.47367,2016-09-09,1,1,Private room in home,Private room,3,1,77.0,4.356708826689592
Marina,37.805202,-122.445206,2022-02-26,1,1,Entire home,Entire home/apt,10,5,1324.0,7.1891677384203225
Noe Valley,37.74997,-122.43275,2014-07-01,1,1,Entire condo,Entire home/apt,4,2,347.0,5.8522024797744745
Mission,37.755466,-122.414558,2014-04-04,2,1,Entire condo,Entire home/apt,5,3,200.0,5.303304908059076
Haight Ashbury,37.77338,-122.44675,2022-02-27,1,1,Entire condo,Entire home/apt,4,2,626.0,6.440946540632921
Mission,37.76797,-122.41788,2020-11-13,20,1,Private room in home,Private room,1,1,67.0,4.219507705176107
Mission,37.7667,-122.4179,2020-11-13,20,1,Private room in home,Private room,1,1,46.0,3.8501476017100584
Bernal Heights,37.7469687,-122.413787,2022-12-20,8,1,Private room in rental unit,Private room,2,1,94.0,4.553876891600541
Mission,37.76942,-122.42426,2011-07-26,9,1,Private room in home,Private room,1,1,62.0,4.143134726391533
Mission,37.76658,-122.41996,2020-11-13,20,1,Private room in home,Private room,1,1,78.0,4.3694478524670215
Ocean View,37.71614,-122.45306,2018-08-12,1,1,Entire condo,Entire home/apt,4,3,199.0,5.298317366548036
Mission,37.76478,-122.40694,2014-08-05,1,1,Entire rental unit,Entire home/apt,4,2,400.0,5.993961427306569
Castro/Upper Market,37.76552,-122.43251,2022-03-01,1,1,Entire rental unit,Entire home/apt,3,1,100.0,4.61512051684126
Russian Hill,37.79898583149942,-122.42370031864554,2022-12-23,1,0,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151
Twin Peaks,37.75743,-122.4436,2012-11-08,2,1,Entire home,Entire home/apt,4,3,325.0,5.786897381366708
South of Market,37.78072,-122.40297,2019-05-22,7,1,Entire rental unit,Entire home/apt,4,2,237.0,5.472270673671475
Mission,37.75691,-122.42221,2011-06-09,1,1,Entire condo,Entire home/apt,3,2,345.0,5.846438775057725
North Beach,37.8040758,-122.4052486,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,296.0,5.6937321388027
Noe Valley,37.75363,-122.43738,2013-04-16,3,1,Private room in home,Private room,2,1,249.0,5.521460917862246
Nob Hill,37.79371,-122.413,2014-08-25,2,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836
Noe Valley,37.75132,-122.43145,2015-08-10,1,1,Entire home,Entire home/apt,4,2,275.0,5.62040086571715
Inner Sunset,37.76344,-122.47519,2014-04-23,1,1,Entire guest suite,Entire home/apt,2,1,121.0,4.804021044733257
Financial District,37.7872571,-122.3963215,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,452.0,6.115892125483034
Crocker Amazon,37.70936,-122.43325,2011-06-06,2,1,Private room in guest suite,Private room,1,1,500.0,6.2166061010848646
Excelsior,37.72891,-122.40501,2022-03-09,1,1,Shared room in home,Shared room,6,2,299.0,5.703782474656201
Castro/Upper Market,37.75917,-122.44163,2011-08-30,1,1,Entire guest suite,Entire home/apt,2,1,120.0,4.795790545596741
Downtown/Civic Center,37.77787,-122.42314,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,63.0,4.1588830833596715
Inner Richmond,37.77925,-122.46516,2017-02-24,2,1,Entire rental unit,Entire home/apt,10,4,476.0,6.1675164908883415
North Beach,37.804543,-122.408623,2018-11-11,2,1,Entire condo,Entire home/apt,6,3,388.0,5.963579343618446
North Beach,37.804966,-122.408684,2018-11-11,2,1,Private room in condo,Private room,6,2,403.0,6.0014148779611505
Bernal Heights,37.73388,-122.41822,2014-01-31,2,1,Entire home,Entire home/apt,4,2,230.0,5.442417710521793
Outer Sunset,37.7636,-122.47879,2017-06-21,5,1,Private room in home,Private room,1,1,65.0,4.189654742026425
Outer Richmond,37.77984,-122.49099,2017-09-15,7,0,Private room in townhouse,Private room,1,1,63.0,4.1588830833596715
Downtown/Civic Center,37.78863,-122.40967,2015-12-24,43,1,Entire condo,Entire home/apt,4,2,115.0,4.7535901911063645
Bayview,37.73643,-122.38969,2010-03-19,3,1,Private room in home,Private room,1,1,89.0,4.499809670330265
Outer Mission,37.72277,-122.43882,2022-03-14,4,1,Private room in home,Private room,3,2,58.0,4.07753744390572
Bernal Heights,37.73848,-122.41702,2011-10-06,28,1,Entire rental unit,Entire home/apt,2,2,235.0,5.4638318050256105
Castro/Upper Market,37.76366,-122.44298,2018-05-14,1,1,Entire home,Entire home/apt,6,3,285.0,5.655991810819852
Potrero Hill,37.76258,-122.38682,2016-03-12,1,1,Entire loft,Entire home/apt,2,1,135.0,4.912654885736052
Western Addition,37.78491,-122.44206,2013-11-23,3,1,Private room in rental unit,Private room,1,1,68.0,4.23410650459726
South of Market,37.78207,-122.39515,2019-09-08,5,1,Private room in condo,Private room,4,2,329.0,5.799092654460526
Nob Hill,37.79101,-122.41538,2011-10-06,28,1,Entire rental unit,Entire home/apt,2,1,135.0,4.912654885736052
North Beach,37.80209002744468,-122.40598868354208,2022-02-18,3,1,Entire condo,Entire home/apt,2,1,290.0,5.673323267171493
Visitacion Valley,37.71069,-122.41253,2015-10-14,1,1,Entire home,Entire home/apt,7,4,166.0,5.117993812416755
Nob Hill,37.796303,-122.410629,2015-10-14,6,1,Entire rental unit,Entire home/apt,2,1,69.0,4.248495242049359
Outer Richmond,37.77669,-122.50087,2016-06-20,8,1,Entire guest suite,Entire home/apt,3,1,174.0,5.1647859739235145
South of Market,37.78712,-122.38912,2014-02-16,1,1,Entire loft,Entire home/apt,2,3,185.0,5.225746673713202
Marina,37.79745,-122.4417,2018-02-16,1,1,Entire condo,Entire home/apt,4,2,650.0,6.478509642208569
Pacific Heights,37.79135,-122.43048,2015-05-08,2,1,Entire condo,Entire home/apt,3,1,200.0,5.303304908059076
Lakeshore,37.73725,-122.49135,2014-06-07,1,0,Entire home,Entire home/apt,5,3,236.0,5.4680601411351315
Bayview,37.73156,-122.38796,2019-06-27,2,1,Entire place,Entire home/apt,2,1,188.0,5.241747015059643
North Beach,37.80362,-122.40954,2015-10-12,1,1,Entire rental unit,Entire home/apt,1,1,90.0,4.51085950651685
Nob Hill,37.78894,-122.41891,2015-03-18,4,1,Private room in home,Private room,2,1,175.0,5.170483995038151
Haight Ashbury,37.77408,-122.43977,2022-03-22,11,1,Entire rental unit,Entire home/apt,8,5,395.0,5.981414211254481
Western Addition,37.7894,-122.4292,2016-08-07,17,1,Entire rental unit,Entire home/apt,2,1,251.0,5.529429087511423
Noe Valley,37.74641,-122.42542,2015-07-18,2,1,Entire rental unit,Entire home/apt,4,2,175.0,5.170483995038151
Outer Sunset,37.74925,-122.50383,2022-03-23,3,1,Private room in home,Private room,3,2,75.0,4.330733340286331
Potrero Hill,37.755772,-122.400017,2015-03-16,1,1,Entire rental unit,Entire home/apt,3,1,170.0,5.14166355650266
Inner Sunset,37.76428,-122.47154,2017-05-20,24,1,Private room in home,Private room,4,2,69.0,4.248495242049359
Western Addition,37.78025,-122.44194,2015-08-15,2,1,Entire condo,Entire home/apt,5,2,322.0,5.777652323222656
Nob Hill,37.78933,-122.41916,2015-03-18,4,1,Entire home,Entire home/apt,6,3,381.0,5.945420608606575
Noe Valley,37.75496,-122.43092,2022-03-25,1,0,Entire serviced apartment,Entire home/apt,2,1,155.0,5.049856007249537
Downtown/Civic Center,37.78534,-122.41037,2019-06-04,8,1,Room in hotel,Private room,2,1,209.0,5.3471075307174685
Nob Hill,37.79421763364678,-122.4212872697107,2022-03-22,7,1,Entire loft,Entire home/apt,10,5,495.0,6.206575926724928
Downtown/Civic Center,37.778759,-122.422256,2022-02-03,5,1,Entire condo,Entire home/apt,2,1,223.0,5.4116460518550396
Potrero Hill,37.76022,-122.3941,2013-03-28,2,1,Private room in rental unit,Private room,2,1,250.0,5.5254529391317835
Outer Sunset,37.76196,-122.50774,2017-04-19,8,1,Entire condo,Entire home/apt,6,4,156.0,5.056245805348308
