neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
Bayview,37.72990180214453,-122.39001237939114,2017-04-07,1,1,Entire guest suite,Entire home/apt,3,2,100.0,4.61512051684126
Haight Ashbury,37.76944,-122.44992,2017-02-19,43,1,Private room in hostel,Private room,4,4,100.0,4.61512051684126
Glen Park,37.74063,-122.42691,2016-05-11,1,1,Entire guest suite,Entire home/apt,4,2,225.0,5.420534999272286
Outer Sunset,37.75834,-122.50591,2017-05-05,1,1,Entire rental unit,Entire home/apt,2,2,103.0,4.6443908991413725
Russian Hill,37.80485,-122.42075,2014-04-02,17,1,Entire rental unit,Entire home/apt,2,1,144.0,4.976733742420574
Castro/Upper Market,37.76688,-122.43418,2014-01-09,3,1,Entire rental unit,Entire home/apt,2,2,349.0,5.857933154483459
Outer Sunset,37.75339,-122.48111,2014-10-16,1,1,Entire rental unit,Entire home/apt,4,3,280.0,5.638354669333745
Pacific Heights,37.79096,-122.42373,2016-09-26,1,1,Entire condo,Entire home/apt,5,3,385.0,5.955837369464831
Inner Richmond,37.78369,-122.46364,2017-04-26,5,1,Private room in home,Private room,3,2,80.0,4.394449154672439
Marina,37.80077,-122.42981,2014-07-16,1,1,Entire serviced apartment,Entire home/apt,6,3,250.0,5.5254529391317835
Outer Sunset,37.76302,-122.48987,2016-08-15,1,1,Entire rental unit,Entire home/apt,3,4,172.0,5.153291594497779
Bayview,37.72877,-122.39519,2017-10-31,1,1,Entire home,Entire home/apt,4,2,250.0,5.5254529391317835
Downtown/Civic Center,37.78784,-122.41036,2015-10-26,27,1,Room in hotel,Private room,4,2,357.0,5.8805329864007
Western Addition,37.78558,-122.44569,2017-11-29,5,1,Private room in bed and breakfast,Private room,2,1,290.0,5.673323267171493
Downtown/Civic Center,37.78979,-122.40907,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,2,1,145.0,4.983606621708336
Downtown/Civic Center,37.78186,-122.41467,2013-04-16,1,1,Private room in hostel,Private room,1,1,39.0,3.6888794541139363
Downtown/Civic Center,37.78839,-122.41149,2016-03-27,38,1,Room in hotel,Private room,4,2,199.0,5.298317366548036
Castro/Upper Market,37.75714,-122.43352,2013-03-17,1,1,Entire rental unit,Entire home/apt,5,2,427.0,6.059123195581797
Downtown/Civic Center,37.78935,-122.40735,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,250.0,5.5254529391317835
South of Market,37.78841,-122.39053,2013-10-10,4,1,Entire condo,Entire home/apt,2,1,185.0,5.225746673713202
Haight Ashbury,37.76514,-122.44715,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,104.0,4.653960350157523
Crocker Amazon,37.71109,-122.44292,2018-03-01,3,1,Entire guest suite,Entire home/apt,6,4,186.0,5.231108616854587
South of Market,37.77618,-122.41441,2014-06-25,1,1,Entire rental unit,Entire home/apt,2,2,430.0,6.066108090103747
Western Addition,37.77583,-122.42823,2018-07-15,4,1,Entire rental unit,Entire home/apt,2,1,105.0,4.663439094112067
Outer Mission,37.71978,-122.44316,2017-09-22,1,1,Entire rental unit,Entire home/apt,4,2,185.0,5.225746673713202
Haight Ashbury,37.76942,-122.44991,2017-02-19,43,1,Shared room in hostel,Shared room,2,1,100.0,4.61512051684126
Mission,37.7555,-122.41128,2015-11-21,1,1,Entire guest suite,Entire home/apt,4,2,150.0,5.017279836814924
Nob Hill,37.78958,-122.41363,2016-12-14,1,1,Entire condo,Entire home/apt,2,1,165.0,5.111987788356544
South of Market,37.77732,-122.41015,2018-11-14,3,1,Private room in condo,Private room,1,1,57.0,4.060443010546419
Haight Ashbury,37.77084,-122.44637,2009-09-15,22,1,Entire rental unit,Entire home/apt,4,4,191.0,5.2574953720277815
Western Addition,37.77652,-122.43139,2014-05-26,1,1,Entire condo,Entire home/apt,2,1,210.0,5.351858133476067
Downtown/Civic Center,37.77907,-122.4211,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,2,137.0,4.927253685157205
Inner Sunset,37.7613,-122.46267,2013-01-11,2,1,Private room in rental unit,Private room,1,1,53.0,3.9889840465642745
Downtown/Civic Center,37.7801,-122.42073,2019-02-15,1,1,Entire condo,Entire home/apt,2,0,125.0,4.836281906951478
Ocean View,37.72224,-122.45178,2016-06-24,9,1,Private room in home,Private room,1,1,45.0,3.828641396489095
Castro/Upper Market,37.76162,-122.42855,2015-10-08,1,1,Entire cottage,Entire home/apt,2,1,275.0,5.62040086571715
Russian Hill,37.79846,-122.41571,2015-11-02,9,1,Entire serviced apartment,Entire home/apt,4,2,263.0,5.575949103146316
Outer Richmond,37.77561,-122.49055,2012-08-13,1,1,Entire home,Entire home/apt,7,4,790.0,6.673297967767654
Nob Hill,37.79062968986707,-122.40991897265258,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222
Marina,37.80392882200339,-122.44317572474051,2010-12-29,10,1,Entire rental unit,Entire home/apt,4,2,260.0,5.564520407322694
Bayview,37.73909,-122.39807,2018-12-02,4,1,Private room in home,Private room,2,1,41.0,3.7376696182833684
Haight Ashbury,37.76837614135568,-122.4464140972593,2017-04-28,30,1,Entire rental unit,Entire home/apt,2,1,104.0,4.653960350157523
Noe Valley,37.749444,-122.440979,2011-10-24,1,1,Entire guesthouse,Entire home/apt,2,1,174.0,5.1647859739235145
Russian Hill,37.80549999999999,-122.4205787,2022-01-25,1,1,Room in hotel,Private room,4,1,282.0,5.645446897643238
South of Market,37.781309752484496,-122.40685935017724,2015-09-06,4,1,Room in hotel,Private room,2,1,73.0,4.30406509320417
Potrero Hill,37.7550424,-122.3902509,2023-02-26,1,1,Entire rental unit,Entire home/apt,3,4,600.0,6.398594934535208
Russian Hill,37.79684571610644,-122.42339542378568,2013-07-25,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
South of Market,37.77600119126811,-122.40797740571315,2020-06-22,7,1,Private room in rental unit,Private room,1,1,69.0,4.248495242049359
Nob Hill,37.79267767608896,-122.40931704487176,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222
Outer Richmond,37.7755266,-122.5055263,2014-05-05,1,1,Entire home,Entire home/apt,6,3,335.0,5.817111159963204
Nob Hill,37.79323179265031,-122.41243964527465,2016-04-29,1,1,Entire rental unit,Entire home/apt,5,4,329.0,5.799092654460526
Financial District,37.78955788309958,-122.40399179294694,2019-11-19,7,1,Room in hotel,Private room,2,1,81.0,4.406719247264253
South of Market,37.7872153365064,-122.39132177457029,2019-01-29,1,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076
Downtown/Civic Center,37.78620692363418,-122.41178813033994,2018-11-09,3,1,Room in hotel,Private room,2,1,299.0,5.703782474656201
